,ticker,trading_days,days_in_trade,num_trades,num_winning_trades,num_losing_trades,win_pct,return,return per day in trade,annualized return,return_fixed_bet,average_return,std_dev_return
0,ADANIENT,37,37,248,84,59,0.3387096774193548,-0.14426308540947463,-0.003899002308364179,-0.9747505770910448,-0.12086036978687575,-0.00048734020075353126,0.016222620660657213
0,ADANIPORTS,37,37,271,89,66,0.3284132841328413,-0.04917489399790087,-0.001329051189132456,-0.332262797283114,-0.038994988334543845,-0.00014389294588392564,0.00909427511003516
0,APOLLOHOSP,37,37,295,116,72,0.39322033898305087,-0.010695154179685251,-0.00028905822107257433,-0.07226455526814358,-0.009182005639518542,-3.1125442845825566e-05,0.003260020260363958
0,ASIANPAINT,37,37,278,99,66,0.35611510791366907,0.026290694462720143,0.0007105593098032471,0.17763982745081178,0.026972219399940323,9.702237194223138e-05,0.0027040956871896907
0,AXISBANK,37,37,309,126,69,0.4077669902912621,0.15697925812660984,0.004242682652070537,1.0606706630176341,0.14778555150461925,0.00047827039321883254,0.0035380657105314596
0,BAJAJ-AUTO,37,37,276,100,67,0.36231884057971014,0.0040633200548436665,0.00010981946094172072,0.02745486523543018,0.004815761563576548,1.744841146223387e-05,0.0023488405740677773
0,BAJFINANCE,37,37,274,102,62,0.3722627737226277,0.012521218211108964,0.000338411303002945,0.08460282575073624,0.013537841891925972,4.940818208732107e-05,0.002823492483894222
0,BAJAJFINSV,37,37,273,110,61,0.40293040293040294,0.07882184134126846,0.002130320036250499,0.5325800090626247,0.07804136402134365,0.0002858658022759841,0.003952986860799185
0,BPCL,37,37,219,95,49,0.4337899543378995,0.33154515307112153,0.008960679812733014,2.2401699531832535,0.28802508193515264,0.0013151830225349435,0.0037088604879630333
0,BHARTIARTL,37,37,289,111,72,0.38408304498269896,0.09326925867810743,0.0025207907750839846,0.6301976937709961,0.090245090039893,0.00031226674754288237,0.002707157381683934
0,BRITANNIA,37,37,286,107,70,0.3741258741258741,0.023445932249452905,0.0006336738445798083,0.15841846114495206,0.023787919091270315,8.317454227716893e-05,0.002070451001714489
0,CIPLA,37,37,294,104,86,0.35374149659863946,0.1026674289198164,0.002774795376211254,0.6936988440528135,0.0987630609422514,0.0003359287787151408,0.0026275978098573927
0,COALINDIA,37,37,167,70,26,0.41916167664670656,0.35418825900128614,0.009572655648683408,2.393163912170852,0.3048969408799733,0.0018257301849100198,0.004138232702686695
0,DIVISLAB,37,37,301,115,68,0.38205980066445183,-0.0027264307353292994,-7.368731717106215e-05,-0.018421829292765538,-0.0011375574496063079,-3.7792606299212887e-06,0.0032431475741201417
0,DRREDDY,37,37,286,107,68,0.3741258741258741,-0.002163557098933122,-5.847451618738168e-05,-0.01461862904684542,-0.001429854308619305,-4.99949058957799e-06,0.002268843346777478
0,EICHERMOT,37,37,279,101,68,0.36200716845878134,0.0737211982486814,0.0019924648175319295,0.4981162043829824,0.07223136353597104,0.00025889377611459154,0.0028003449100346646
0,GRASIM,37,37,293,115,76,0.3924914675767918,0.051783063562199194,0.001399542258437816,0.349885564609454,0.051802771351650234,0.00017680126741177553,0.0029928890499827353
0,HCLTECH,37,37,298,106,73,0.35570469798657717,0.07688555338987202,0.0020779879294560003,0.5194969823640001,0.07472412962087627,0.00025075211282173245,0.002078230187565099
0,HDFCBANK,37,37,299,122,60,0.4080267558528428,0.14598215671601888,0.003945463695027537,0.9863659237568843,0.13705363734231346,0.00045837336903783765,0.0022580264876165884
0,HDFCLIFE,37,37,271,111,53,0.4095940959409594,0.15903562772038327,0.0042982602086590075,1.0745650521647518,0.15034276879595776,0.0005547703645607297,0.004437879095182862
0,HEROMOTOCO,37,37,299,119,63,0.3979933110367893,0.03984766465364764,0.0010769639095580443,0.2692409773895111,0.0400287428358419,0.0001338753940998057,0.0025223827185687844
0,HINDALCO,37,37,269,115,49,0.4275092936802974,0.30131366147056204,0.008143612472177352,2.035903118044338,0.2651280969501859,0.0009856063083650034,0.0034791509517181746
0,HINDUNILVR,37,37,292,102,69,0.3493150684931507,0.05377047673342772,0.001453256127930479,0.36331403198261975,0.05309856564063831,0.0001818444028788983,0.0022205363867020974
0,HDFC,37,37,305,122,58,0.4,0.1278604960469305,0.0034556890823494732,0.8639222705873683,0.12101082710142119,0.00039675681016859406,0.0020894354962309267
0,ICICIBANK,37,37,299,109,73,0.36454849498327757,0.03324901372636102,0.000898621992604352,0.22465549815108798,0.03424487769893869,0.00011453136354160098,0.0032010998005166376
0,ITC,37,37,210,74,47,0.3523809523809524,0.27220974272084897,0.007357020073536459,1.8392550183841148,0.24417503659903173,0.0011627382695191986,0.005672498711440112
0,INDUSINDBK,37,37,295,108,75,0.36610169491525424,0.02817510939848833,0.0007614894432023873,0.19037236080059683,0.032835175143103745,0.00011130567845119913,0.005839387821785962
0,INFY,37,37,264,93,60,0.3522727272727273,0.10030948533597828,0.002711067171242656,0.677766792810664,0.0959858183992286,0.00036358264545162345,0.0016932493766839971
0,JSWSTEEL,37,37,303,136,57,0.44884488448844884,0.3047974993784157,0.008237770253470694,2.0594425633676736,0.2673983129111285,0.0008825026828750115,0.0028575770165198367
0,KOTAKBANK,37,37,328,135,66,0.4115853658536585,0.19582371533960652,0.005292532847016393,1.3231332117540981,0.18000381090536022,0.0005487921064187811,0.00261227842256294
0,LT,37,37,278,113,60,0.4064748201438849,0.07905620640061706,0.002136654227043704,0.5341635567609261,0.07750941891554375,0.00027881085940843075,0.003185853472470573
0,M&M,37,37,312,124,76,0.3974358974358974,0.13405099569002354,0.00362299988351415,0.9057499708785375,0.12705030198672562,0.00040721250636771035,0.002809144385341132
0,MARUTI,37,37,289,107,74,0.370242214532872,-0.03445844819099542,-0.0009313094105674437,-0.23282735264186094,-0.03430066907496698,-0.00011868743624556049,0.0022975623532130738
0,NTPC,37,37,140,46,32,0.32857142857142857,0.2267502858035182,0.006128386102797789,1.5320965256994472,0.2061759065716584,0.001472685046940417,0.004889436522024764
0,NESTLEIND,37,37,305,122,76,0.4,0.0127241674417371,0.0003438964173442459,0.08597410433606148,0.013235207680831973,4.3394123543711385e-05,0.0019702911921395203
0,ONGC,37,36,138,66,23,0.4782608695652174,0.5815360346028091,0.01615377873896692,4.03844468474173,0.46087822267593004,0.003339697265767609,0.00501919922228135
0,POWERGRID,37,37,175,83,24,0.4742857142857143,0.4602874825801724,0.012440202231896551,3.1100505579741378,0.38074139862697765,0.002175665135011301,0.004419460322560079
0,RELIANCE,37,36,305,125,64,0.4098360655737705,0.09853101009925802,0.0027369725027571673,0.6842431256892918,0.09445448608011109,0.00030968683960692163,0.0017505425097183859
0,SBILIFE,37,37,263,91,61,0.34600760456273766,0.09743891362935164,0.002633484152144639,0.6583710380361598,0.09477505270070963,0.00036036141711296435,0.003666538034230045
0,SBIN,37,37,260,113,53,0.4346153846153846,0.21763657572940764,0.0058820696143083145,1.4705174035770787,0.19891233226949878,0.0007650474318057646,0.0038351549245330095
0,SUNPHARMA,37,37,296,103,83,0.34797297297297297,0.020087379419315265,0.0005429021464679802,0.13572553661699505,0.020743220695474074,7.007844829552053e-05,0.0024050742855778163
0,TCS,37,37,289,111,62,0.38408304498269896,0.05833712370640187,0.0015766790190919425,0.39416975477298566,0.05720658874956608,0.00019794667387393108,0.0018662931200849153
0,TATACONSUM,37,37,302,121,67,0.40066225165562913,0.1362054966082331,0.0036812296380603544,0.9203074095150886,0.12862412196087925,0.00042590768861218295,0.002447686258939222
0,TATAMOTORS,37,37,250,102,49,0.408,0.21305843880879727,0.005758336184021548,1.439584046005387,0.19474971758697246,0.0007789988703478898,0.0034958194209283315
0,TATASTEEL,37,34,121,57,12,0.47107438016528924,0.7767772290345021,0.02284638908925006,5.711597272312515,0.5789115464993325,0.004784392946275476,0.006780351577247997
0,TECHM,37,37,291,114,63,0.3917525773195876,0.13487795896171884,0.003645350242208617,0.9113375605521543,0.1272600488747072,0.0004373197555831863,0.002207586212389854
0,TITAN,37,37,273,94,67,0.3443223443223443,0.033884242819363974,0.0009157903464692966,0.22894758661732414,0.03421326426784055,0.00012532331233641226,0.0025545789067935244
0,UPL,37,37,286,116,57,0.40559440559440557,0.18318977045207463,0.004951074877083098,1.2377687192707745,0.16941312498612593,0.0005923535838675732,0.0028371681454049317
0,ULTRACEMCO,37,37,263,101,57,0.3840304182509506,0.02469022710269453,0.0006673034352079602,0.16682585880199005,0.025246471395882097,9.59941878170422e-05,0.0025468409962847993
0,WIPRO,37,37,206,88,40,0.42718446601941745,0.26029940200762236,0.007035118973178983,1.7587797432947456,0.23215626855487126,0.0011269721774508313,0.0025710460462612657
